img_name,label
test_000000.jpg,119 143 92
test_000001.jpg,243 181 133
test_000002.jpg,225 218 43
test_000003.jpg,67 225 199
test_000004.jpg,225 104 12
test_000005.jpg,53 16 133
test_000006.jpg,37 73 119
test_000007.jpg,104 96 24
test_000008.jpg,225 92 188
test_000009.jpg,199 104 67
test_000010.jpg,110 16 130
test_000011.jpg,92 96 208
test_000012.jpg,192 143 119
test_000013.jpg,151 29 82
test_000014.jpg,144 12 92
test_000015.jpg,24 196 29
test_000016.jpg,92 242 110
test_000017.jpg,104 225 141
test_000018.jpg,198 243 96
test_000019.jpg,198 92 55
test_000020.jpg,37 92 206
test_000021.jpg,165 200 196
test_000022.jpg,242 114 37
test_000023.jpg,225 92 96
test_000024.jpg,92 104 12
test_000025.jpg,165 196 200
test_000026.jpg,9 110 166
test_000027.jpg,122 12 194
test_000028.jpg,92 206 24
test_000029.jpg,129 88 92
test_000030.jpg,104 12 92
test_000031.jpg,24 185 206
test_000032.jpg,24 185 92
test_000033.jpg,92 129 209
test_000034.jpg,96 29 245
test_000035.jpg,96 176 166
test_000036.jpg,92 37 41
test_000037.jpg,24 165 196
test_000038.jpg,199 21 58
test_000039.jpg,166 22 18
test_000040.jpg,55 110 96
test_000041.jpg,96 206 29
test_000042.jpg,115 134 148
test_000043.jpg,104 122 199
test_000044.jpg,143 123 164
test_000045.jpg,225 122 237
test_000046.jpg,92 55 110
test_000047.jpg,92 24 185
test_000048.jpg,24 176 217
test_000049.jpg,242 179 22
test_000050.jpg,92 96 55
test_000051.jpg,92 68 225
test_000052.jpg,200 165 90
test_000053.jpg,243 104 96
test_000054.jpg,199 104 225
test_000055.jpg,88 165 96
test_000056.jpg,55 143 96
test_000057.jpg,140 239 237
test_000058.jpg,24 96 165
test_000059.jpg,199 104 92
test_000060.jpg,92 104 75
test_000061.jpg,217 90 13
test_000062.jpg,104 22 199
test_000063.jpg,24 166 185
test_000064.jpg,143 84 92
test_000065.jpg,122 96 92
test_000066.jpg,84 92 188
test_000067.jpg,178 249 24
test_000068.jpg,24 188 196
test_000069.jpg,202 13 22
test_000070.jpg,24 185 122
test_000071.jpg,55 213 188
test_000072.jpg,148 90 227
test_000073.jpg,199 92 88
test_000074.jpg,96 92 199
test_000075.jpg,217 12 104
test_000076.jpg,44 188 132
test_000077.jpg,24 243 185
test_000078.jpg,24 122 75
test_000079.jpg,96 151 104
test_000080.jpg,116 19 184
test_000081.jpg,122 104 92
test_000082.jpg,76 105 225
test_000083.jpg,96 55 192
test_000084.jpg,76 227 92
test_000085.jpg,105 12 148
test_000086.jpg,206 104 198
test_000087.jpg,13 225 140
test_000088.jpg,24 185 96
test_000089.jpg,92 119 106
test_000090.jpg,104 12 24
test_000091.jpg,157 155 12
test_000092.jpg,92 119 195
test_000093.jpg,199 92 208
test_000094.jpg,133 166 18
test_000095.jpg,104 243 225
test_000096.jpg,82 68 143
test_000097.jpg,96 225 92
test_000098.jpg,129 122 11
test_000099.jpg,195 92 13
test_000100.jpg,55 96 134
test_000101.jpg,122 94 18
test_000102.jpg,196 113 50
test_000103.jpg,76 55 144
test_000104.jpg,68 80 67
test_000105.jpg,49 143 95
